/home/zjc/miniconda3/envs/adacompress/lib/python3.12/site-packages/compressai/models/video/google.py:353: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  @amp.autocast(enabled=False)
/home/zjc/miniconda3/envs/adacompress/lib/python3.12/site-packages/timm/models/layers/__init__.py:48: FutureWarning: Importing from timm.models.layers is deprecated, please import via timm.layers
  warnings.warn(f"Importing from {__name__} is deprecated, please import via timm.layers", FutureWarning)
2026-02-13 01:31:32,333 [INFO ] Logging file is ./checkpoints/tic_stage_vis/TIC/5e-3/train.log
2026-02-13 01:31:32,334 [INFO ] Config: config/tic_stage_vis.yaml
2026-02-13 01:31:32,334 [INFO ] Output: ./checkpoints/tic_stage_vis/TIC/5e-3
2026-02-13 01:31:32,334 [INFO ] Model: TIC N=128 M=192
2026-02-13 01:31:32,334 [INFO ] eval_every=1 | spatial_save_images=8 | spatial_blur_kernel=5 | blocks=g_a1,g_a3,g_a5,g_a7,g_s0,g_s2,g_s4,g_s6
/home/zjc/miniconda3/envs/adacompress/lib/python3.12/site-packages/torch/functional.py:534: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at /opt/conda/conda-bld/pytorch_1729647378361/work/aten/src/ATen/native/TensorShape.cpp:3595.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
2026-02-13 01:31:33,086 [INFO ] Main optimizer params: 506
2026-02-13 01:31:33,086 [INFO ] Aux optimizer params: 1
2026-02-13 01:31:33,089 [INFO ] Total params: 7.51M | Trainable: 7.51M
2026-02-13 01:31:33,089 [INFO ] Epoch 0/30 | LR 1.00e-04
2026-02-13 01:31:35,067 [INFO ] [Train][E0][it 0/3188][step 1] RD 324.6069 | BPP 7.1268 | MSE 0.976486 | PSNR 7.26 | AUX 5278.20
2026-02-13 01:31:51,075 [INFO ] [Train][E0][it 100/3188][step 101] RD 25.8851 | BPP 1.1138 | MSE 0.076190 | PSNR 13.73 | AUX 5264.44
2026-02-13 01:32:07,077 [INFO ] [Train][E0][it 200/3188][step 201] RD 15.9402 | BPP 0.9592 | MSE 0.046078 | PSNR 16.03 | AUX 5245.76
2026-02-13 01:32:23,294 [INFO ] [Train][E0][it 300/3188][step 301] RD 12.0532 | BPP 0.8940 | MSE 0.034323 | PSNR 17.34 | AUX 5226.51
2026-02-13 01:32:39,199 [INFO ] [Train][E0][it 400/3188][step 401] RD 10.0096 | BPP 0.8627 | MSE 0.028134 | PSNR 18.12 | AUX 5207.27
2026-02-13 01:32:55,167 [INFO ] [Train][E0][it 500/3188][step 501] RD 8.7193 | BPP 0.8376 | MSE 0.024242 | PSNR 18.68 | AUX 5188.09
2026-02-13 01:33:11,215 [INFO ] [Train][E0][it 600/3188][step 601] RD 7.8061 | BPP 0.8211 | MSE 0.021484 | PSNR 19.14 | AUX 5168.36
2026-02-13 01:33:27,146 [INFO ] [Train][E0][it 700/3188][step 701] RD 7.1277 | BPP 0.8073 | MSE 0.019440 | PSNR 19.51 | AUX 5148.90
2026-02-13 01:33:43,201 [INFO ] [Train][E0][it 800/3188][step 801] RD 6.5890 | BPP 0.7962 | MSE 0.017817 | PSNR 19.85 | AUX 5128.85
2026-02-13 01:33:59,207 [INFO ] [Train][E0][it 900/3188][step 901] RD 6.1375 | BPP 0.7853 | MSE 0.016462 | PSNR 20.17 | AUX 5107.71
2026-02-13 01:34:15,174 [INFO ] [Train][E0][it 1000/3188][step 1001] RD 5.7708 | BPP 0.7766 | MSE 0.015361 | PSNR 20.45 | AUX 5085.13
2026-02-13 01:34:31,181 [INFO ] [Train][E0][it 1100/3188][step 1101] RD 5.4571 | BPP 0.7685 | MSE 0.014421 | PSNR 20.71 | AUX 5062.11
2026-02-13 01:34:47,186 [INFO ] [Train][E0][it 1200/3188][step 1201] RD 5.1866 | BPP 0.7608 | MSE 0.013612 | PSNR 20.95 | AUX 5038.32
2026-02-13 01:35:03,176 [INFO ] [Train][E0][it 1300/3188][step 1301] RD 4.9550 | BPP 0.7531 | MSE 0.012924 | PSNR 21.15 | AUX 5013.94
2026-02-13 01:35:19,137 [INFO ] [Train][E0][it 1400/3188][step 1401] RD 4.7623 | BPP 0.7469 | MSE 0.012350 | PSNR 21.31 | AUX 4989.61
2026-02-13 01:35:35,129 [INFO ] [Train][E0][it 1500/3188][step 1501] RD 4.5754 | BPP 0.7398 | MSE 0.011797 | PSNR 21.50 | AUX 4965.26
2026-02-13 01:35:51,213 [INFO ] [Train][E0][it 1600/3188][step 1601] RD 4.4119 | BPP 0.7338 | MSE 0.011313 | PSNR 21.67 | AUX 4940.08
2026-02-13 01:36:07,362 [INFO ] [Train][E0][it 1700/3188][step 1701] RD 4.2696 | BPP 0.7293 | MSE 0.010889 | PSNR 21.81 | AUX 4914.01
2026-02-13 01:36:23,295 [INFO ] [Train][E0][it 1800/3188][step 1801] RD 4.1429 | BPP 0.7257 | MSE 0.010510 | PSNR 21.95 | AUX 4887.22
2026-02-13 01:36:39,253 [INFO ] [Train][E0][it 1900/3188][step 1901] RD 4.0210 | BPP 0.7202 | MSE 0.010152 | PSNR 22.09 | AUX 4860.11
2026-02-13 01:36:55,264 [INFO ] [Train][E0][it 2000/3188][step 2001] RD 3.9137 | BPP 0.7162 | MSE 0.009835 | PSNR 22.21 | AUX 4832.65
2026-02-13 01:37:11,220 [INFO ] [Train][E0][it 2100/3188][step 2101] RD 3.8118 | BPP 0.7115 | MSE 0.009536 | PSNR 22.33 | AUX 4804.63
2026-02-13 01:37:27,209 [INFO ] [Train][E0][it 2200/3188][step 2201] RD 3.7174 | BPP 0.7070 | MSE 0.009259 | PSNR 22.45 | AUX 4776.45
2026-02-13 01:37:43,202 [INFO ] [Train][E0][it 2300/3188][step 2301] RD 3.6361 | BPP 0.7036 | MSE 0.009020 | PSNR 22.54 | AUX 4748.37
2026-02-13 01:37:59,187 [INFO ] [Train][E0][it 2400/3188][step 2401] RD 3.5568 | BPP 0.6997 | MSE 0.008788 | PSNR 22.64 | AUX 4720.39
2026-02-13 01:38:15,145 [INFO ] [Train][E0][it 2500/3188][step 2501] RD 3.4803 | BPP 0.6960 | MSE 0.008564 | PSNR 22.74 | AUX 4692.05
2026-02-13 01:38:31,125 [INFO ] [Train][E0][it 2600/3188][step 2601] RD 3.4151 | BPP 0.6933 | MSE 0.008372 | PSNR 22.82 | AUX 4663.43
2026-02-13 01:38:47,108 [INFO ] [Train][E0][it 2700/3188][step 2701] RD 3.3480 | BPP 0.6901 | MSE 0.008175 | PSNR 22.92 | AUX 4634.35
2026-02-13 01:39:03,067 [INFO ] [Train][E0][it 2800/3188][step 2801] RD 3.2855 | BPP 0.6870 | MSE 0.007992 | PSNR 23.00 | AUX 4604.73
2026-02-13 01:39:19,014 [INFO ] [Train][E0][it 2900/3188][step 2901] RD 3.2272 | BPP 0.6841 | MSE 0.007822 | PSNR 23.09 | AUX 4574.78
2026-02-13 01:39:34,972 [INFO ] [Train][E0][it 3000/3188][step 3001] RD 3.1723 | BPP 0.6812 | MSE 0.007662 | PSNR 23.17 | AUX 4544.46
2026-02-13 01:39:50,936 [INFO ] [Train][E0][it 3100/3188][step 3101] RD 3.1209 | BPP 0.6786 | MSE 0.007512 | PSNR 23.25 | AUX 4513.85
2026-02-13 01:40:04,886 [INFO ] [Train][E0] RD 3.0773 | BPP 0.6764 | MSE 0.007385 | PSNR 23.32 dB | AUX 4487.01
2026-02-13 01:40:54,886 [INFO ] [Kodak][E0] RD 1.1460 | BPP 0.3969 | MSE 0.002304 | PSNR 26.82 dB
2026-02-13 01:40:54,887 [INFO ] [Spatial][E0] saved block maps for 8 images to ./checkpoints/tic_stage_vis/TIC/5e-3/kodak_block_spatial/epoch_0001
2026-02-13 01:40:54,887 [INFO ] [Spatial][E0][g_a1] U=0.023255 E=0.104336 Ehigh=0.010198 Elow=0.092669 G=0.000000
2026-02-13 01:40:54,887 [INFO ] [Spatial][E0][g_a3] U=0.041162 E=0.155536 Ehigh=0.042627 Elow=0.108374 G=0.000000
2026-02-13 01:40:54,887 [INFO ] [Spatial][E0][g_a5] U=0.091172 E=0.355372 Ehigh=0.135724 Elow=0.207489 G=0.000000
2026-02-13 01:40:54,887 [INFO ] [Spatial][E0][g_a7] U=0.135503 E=0.524734 Ehigh=0.249478 Elow=0.258614 G=0.000000
2026-02-13 01:40:54,887 [INFO ] [Spatial][E0][g_s0] U=0.514862 E=2.081309 Ehigh=0.958814 Elow=1.056358 G=0.000000
2026-02-13 01:40:54,887 [INFO ] [Spatial][E0][g_s2] U=0.064809 E=0.287758 Ehigh=0.158592 Elow=0.119810 G=0.000000
2026-02-13 01:40:54,887 [INFO ] [Spatial][E0][g_s4] U=0.023992 E=0.063082 Ehigh=0.026908 Elow=0.033153 G=0.000000
2026-02-13 01:40:54,887 [INFO ] [Spatial][E0][g_s6] U=0.013071 E=0.042535 Ehigh=0.026678 Elow=0.010654 G=0.000000
2026-02-13 01:40:55,160 [INFO ] Epoch 1/30 | LR 1.00e-04
2026-02-13 01:40:56,033 [INFO ] [Train][E1][it 0/3188][step 3189] RD 1.5915 | BPP 0.6123 | MSE 0.003012 | PSNR 25.27 | AUX 3500.51
2026-02-13 01:41:11,960 [INFO ] [Train][E1][it 100/3188][step 3289] RD 1.4527 | BPP 0.5806 | MSE 0.002682 | PSNR 25.98 | AUX 3462.22
2026-02-13 01:41:27,967 [INFO ] [Train][E1][it 200/3188][step 3389] RD 1.4811 | BPP 0.5880 | MSE 0.002747 | PSNR 25.90 | AUX 3425.72
2026-02-13 01:41:43,930 [INFO ] [Train][E1][it 300/3188][step 3489] RD 1.5004 | BPP 0.5919 | MSE 0.002794 | PSNR 25.84 | AUX 3391.32
